Date,Symbol,Market Cap,Current Price,High,Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value,EPS,Industry PE,Debt to equity,PEG Ratio,Reserves,OPM,Promoter holding,Price to book value,Sales growth,Profit growth,Dividend Payout,Debt,Sector,Volume,Free Cash Flow
,,,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,,,,,,,,,,,,,,,,,,,,SUNPHARMA.NS,
2015-01-01,SUNPHARMA,3942099189760.0,757.8304443359375,765.019775553646,754.0513972327677,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,587479,
2015-01-02,SUNPHARMA,3942099189760.0,761.563232421875,765.4805016960571,759.4893839826021,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,710310,
2015-01-05,SUNPHARMA,3942099189760.0,762.0242919921875,765.6650603688715,759.9043687148635,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,792287,
2015-01-06,SUNPHARMA,3942099189760.0,745.2490234375,760.0424659079443,740.7787499557309,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,1709888,
2015-01-07,SUNPHARMA,3942099189760.0,746.4011840820312,751.3784435010059,737.3684320408798,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,1730518,
2015-01-08,SUNPHARMA,3942099189760.0,754.6965942382812,756.7243687188409,750.6411015339099,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,943536,
2015-01-09,SUNPHARMA,3942099189760.0,765.065673828125,770.5498617269307,755.8024959522526,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,1766875,
2015-01-12,SUNPHARMA,3942099189760.0,769.9048461914062,771.7021930970283,765.1119398619977,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,1188646,
2015-01-13,SUNPHARMA,3942099189760.0,767.8770141601562,777.3706775518539,761.471171031107,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,838422,
2015-01-14,SUNPHARMA,3942099189760.0,756.401611328125,772.1628356041003,753.0373460919725,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,996066,
2015-01-15,SUNPHARMA,3942099189760.0,761.2406005859375,768.6142833861143,755.249483310794,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,2224116,
2015-01-16,SUNPHARMA,3942099189760.0,783.2234497070312,787.5094257738791,761.5171800044511,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,2005202,
2015-01-19,SUNPHARMA,3942099189760.0,795.4361572265625,798.3395677886618,786.311200822888,37.944572,300.992,0.98,,,,43.3,,3.259,,,,,5.4586167,,,,,Healthcare,1382755,
